sctid,preferred_term,translation
241218003,Angiography of common carotid artery,온목동맥 혈관 조영
241262007,Angiography of internal iliac artery,속엉덩동맥 혈관 조영
312730001,Angiography of external iliac artery,바깥엉덩동맥 혈관 조영
418827006,Fluoroscopic angiography with contrast and embolization of internal iliac artery,조영제 사용 투시 혈관 조영 및 속엉덩동맥 색전 형성
419857009,Fluoroscopic angiography of external iliac artery with contrast,조영제 사용 바깥엉덩동맥 투시 혈관 조영
434436004,Percutaneous transluminal cutting balloon angioplasty of internal iliac artery using fluoroscopic guidance with contrast,조영제 사용 투시 유도하 피부 경유 혈관내 속엉덩동맥 칼날 풍선 혈관 성형
438414005,Percutaneous transluminal temporary balloon occlusion of internal iliac artery using fluoroscopic guidance with contrast,조영제 사용 투시 유도하 피부 경유 혈관내 속엉덩동맥 일시적 풍선 폐색
433686009,Percutaneous transluminal cutting balloon angioplasty of common femoral artery using fluoroscopic guidance with contrast,조영제 사용 투시 유도하 피부 경유 혈관내 온넓다리동맥 칼날 풍선 혈관 성형
432803007,Percutaneous embolization of superficial femoral artery using fluoroscopic guidance with contrast,조영제 사용 투시 유도하 피부 경유 얕은 넓다리 동맥 색전술
702570008,Fluoroscopic ureterography,투시 요관 조영
711000087105,Fluoroscopic ureterography of left ureter,왼쪽 요관 투시 요관 조영
721000087102,Fluoroscopic ureterography of right ureter,오른쪽 요관 투시 요관 조영
711367004,Biopsy of rib using computed tomography guidance,컴퓨터 단층 촬영 유도하 갈비뼈 생검
5701000087106,Fluoroscopic antegrade pyelography of bilateral renal pelvis,양측 신우 투시 순행 신우 조영
418462009,Fluoroscopic antegrade pyelography,투시 순행 신우 조영
6421000087103,Fluoroscopic antegrade pyelography of right renal pelvis,오른쪽 신우 투시 순행 신우 조영
431219006,Antegrade insertion of ureteric stent using fluoroscopic guidance,투시 유도하 순행 요관 스텐트 삽입
710130007,Fluoroscopic venography of vena cava with contrast,조영제 사용 대정맥 투시 정맥 조영
725929003,Dynamic magnetic resonance imaging of wrist with contrast,조영제 사용 손목 동적 자기 공명 영상
764970007,Retrospectively electrocardiogram gated computed tomography angiography of coronary artery with contrast,조영제 사용 관상 동맥 후향적 심전도 동기 컴퓨터 단층 촬영 혈관 조영
765113006,Prospectively electrocardiogram gated computed tomography angiography of coronary artery with contrast,조영제 사용 관상 동맥 전향적 심전도 동기 컴퓨터 단층 촬영 혈관 조영
241366008,Radionuclide direct micturating cystogram,방사성 핵종 직접 배뇨 방광 조영
168663008,Plain X-ray head of femur,넓적다리뼈 머리 단순 방사선 촬영
430243000,Magnetic resonance imaging of breast for radiotherapy planning,방사선 치료 계획을 위한 유방 자기 공명 영상
14371000087101,Injection of left sacroiliac joint using ultrasonographic guidance,초음파 유도하 왼쪽 엉치엉덩 관절 주사
14381000087104,Injection of right sacroiliac joint using ultrasonographic guidance,초음파 유도하 오른쪽 엉치엉덩 관절 주사
14711000087107,Injection of bilateral sacroiliac joints using ultrasonographic guidance,초음파 유도하 양측 엉치엉덩 관절 주사
17141000087101,Plain X-ray of bilateral sacroiliac joints,양측 엉치엉덩 관절 단순 방사선 촬영
